RegionNUM,Region,Año,Cantidad_de_presonas,Tipo,netchange,ABSCANT
1,Central,2017,14977,Defunciones,45762,14977
2,Chorotega,2017,1601,Defunciones,1629,1601
3,Pacifico Central,2017,1345,Defunciones,4012,1345
4,Brunca,2017,1457,Defunciones,2632,1457
5,Huetar Caribe,2017,1920,Defunciones,6188,1920
6,Huetar Norte,2017,1111,Defunciones,11785,1111
1,Central,2016,14457,Defunciones,55922,14457
2,Chorotega,2016,1571,Defunciones,2641,1571
3,Pacifico Central,2016,1343,Defunciones,2014,1343
4,Brunca,2016,1427,Defunciones,5783,1427
5,Huetar Caribe,2016,1797,Defunciones,1999,1797
6,Huetar Norte,2016,400,Defunciones,12068,400
1,Central,2015,13749,Defunciones,48332,13749
2,Chorotega,2015,1779,Defunciones,956,1779
3,Pacifico Central,2015,1136,Defunciones,6366,1136
4,Brunca,2015,1469,Defunciones,957,1469
5,Huetar Caribe,2015,1648,Defunciones,7661,1648
6,Huetar Norte,2015,1129,Defunciones,9133,1129
1,Central,2021,29998,nacimientos,14798,29998
2,Chorotega,2021,4523,nacimientos,1982,4523
3,Pacifico Central,2021,3440,nacimientos,6945,3440
4,Brunca,2021,4534,nacimientos,3922,4534
5,Huetar Caribe,2021,6215,nacimientos,5560,6215
6,Huetar Norte,2021,5579,nacimientos,9063,5579
1,Central,2020,32723,nacimientos,17381,32723
2,Chorotega,2020,5028,nacimientos,3981,5028
3,Pacifico Central,2020,3826,nacimientos,7552,3826
4,Brunca,2020,4517,nacimientos,5771,4517
5,Huetar Caribe,2020,6179,nacimientos,4916,6179
6,Huetar Norte,2020,5883,nacimientos,8700,5883
1,Central,2019,36488,nacimientos,39879,36488
2,Chorotega,2019,5530,nacimientos,2978,5530
3,Pacifico Central,2019,3917,nacimientos,4042,3917
4,Brunca,2019,5014,nacimientos,3750,5014
5,Huetar Caribe,2019,6792,nacimientos,8354,6792
6,Huetar Norte,2019,6533,nacimientos,12747,6533
1,Central,2018,38326,nacimientos,60940,38326
2,Chorotega,2018,5624,nacimientos,3382,5624
3,Pacifico Central,2018,4333,nacimientos,1512,4333
4,Brunca,2018,5505,nacimientos,1528,5505
5,Huetar Caribe,2018,7456,nacimientos,8174,7456
6,Huetar Norte,2018,7205,nacimientos,13740,7205
1,Central,2017,38674,nacimientos,45762,38674
2,Chorotega,2017,5676,nacimientos,1629,5676
3,Pacifico Central,2017,4211,nacimientos,4012,4211
4,Brunca,2017,5620,nacimientos,2632,5620
5,Huetar Caribe,2017,7638,nacimientos,6188,7638
6,Huetar Norte,2017,6992,nacimientos,11785,6992
1,Central,2016,39912,nacimientos,55922,39912
2,Chorotega,2016,5789,nacimientos,2641,5789
3,Pacifico Central,2016,4143,nacimientos,2014,4143
4,Brunca,2016,5511,nacimientos,5783,5511
5,Huetar Caribe,2016,7791,nacimientos,1999,7791
6,Huetar Norte,2016,6858,nacimientos,12068,6858
1,Central,2015,41012,nacimientos,48332,41012
2,Chorotega,2015,5869,nacimientos,956,5869
3,Pacifico Central,2015,4175,nacimientos,6366,4175
4,Brunca,2015,5715,nacimientos,957,5715
5,Huetar Caribe,2015,8117,nacimientos,7661,8117
6,Huetar Norte,2015,6931,nacimientos,9133,6931
1,Central,2021,10576,Natural,14798,10576
2,Chorotega,2021,2387,Natural,1982,2387
3,Pacifico Central,2021,1553,Natural,6945,1553
4,Brunca,2021,2576,Natural,3922,2576
5,Huetar Caribe,2021,3576,Natural,5560,3576
6,Huetar Norte,2021,3920,Natural,9063,3920
1,Central,2020,15917,Natural,17381,15917
2,Chorotega,2020,3276,Natural,3981,3276
3,Pacifico Central,2020,2274,Natural,7552,2274
4,Brunca,2020,2929,Natural,5771,2929
5,Huetar Caribe,2020,4013,Natural,4916,4013
6,Huetar Norte,2020,4667,Natural,8700,4667
1,Central,2019,20866,Natural,39879,20866
2,Chorotega,2019,3909,Natural,2978,3909
3,Pacifico Central,2019,2483,Natural,4042,2483
4,Brunca,2019,3463,Natural,3750,3463
5,Huetar Caribe,2019,4848,Natural,8354,4848
6,Huetar Norte,2019,5354,Natural,12747,5354
1,Central,2018,23047,Natural,60940,23047
2,Chorotega,2018,4031,Natural,3382,4031
3,Pacifico Central,2018,2990,Natural,1512,2990
4,Brunca,2018,4056,Natural,1528,4056
5,Huetar Caribe,2018,5448,Natural,8174,5448
6,Huetar Norte,2018,6032,Natural,13740,6032
1,Central,2017,23697,Natural,45762,23697
2,Chorotega,2017,4075,Natural,1629,4075
3,Pacifico Central,2017,2866,Natural,4012,2866
4,Brunca,2017,4163,Natural,2632,4163
5,Huetar Caribe,2017,5718,Natural,6188,5718
6,Huetar Norte,2017,5881,Natural,11785,5881
1,Central,2016,25455,Natural,55922,25455
2,Chorotega,2016,4218,Natural,2641,4218
3,Pacifico Central,2016,2800,Natural,2014,2800
4,Brunca,2016,4084,Natural,5783,4084
5,Huetar Caribe,2016,5994,Natural,1999,5994
6,Huetar Norte,2016,6458,Natural,12068,6458
1,Central,2015,27263,Natural,48332,27263
2,Chorotega,2015,4090,Natural,956,4090
3,Pacifico Central,2015,3039,Natural,6366,3039
4,Brunca,2015,4246,Natural,957,4246
5,Huetar Caribe,2015,6469,Natural,7661,6469
6,Huetar Norte,2015,5802,Natural,9133,5802
1,Central,2021,14798,NetChange,14798,14798
2,Chorotega,2021,1982,NetChange,1982,1982
3,Pacifico Central,2021,6945,NetChange,6945,6945
4,Brunca,2021,3922,NetChange,3922,3922
5,Huetar Caribe,2021,5560,NetChange,5560,5560
6,Huetar Norte,2021,9063,NetChange,9063,9063
1,Central,2020,17381,NetChange,17381,17381
2,Chorotega,2020,3981,NetChange,3981,3981
3,Pacifico Central,2020,7552,NetChange,7552,7552
4,Brunca,2020,5771,NetChange,5771,5771
5,Huetar Caribe,2020,4916,NetChange,4916,4916
6,Huetar Norte,2020,8700,NetChange,8700,8700
1,Central,2019,39879,NetChange,39879,39879
2,Chorotega,2019,2978,NetChange,2978,2978
3,Pacifico Central,2019,4042,NetChange,4042,4042
4,Brunca,2019,3750,NetChange,3750,3750
5,Huetar Caribe,2019,8354,NetChange,8354,8354
6,Huetar Norte,2019,12747,NetChange,12747,12747
1,Central,2018,60940,NetChange,60940,60940
2,Chorotega,2018,3382,NetChange,3382,3382
3,Pacifico Central,2018,1512,NetChange,1512,1512
4,Brunca,2018,1528,NetChange,1528,1528
5,Huetar Caribe,2018,8174,NetChange,8174,8174
6,Huetar Norte,2018,13740,NetChange,13740,13740
1,Central,2017,45762,NetChange,45762,45762
2,Chorotega,2017,1629,NetChange,1629,1629
3,Pacifico Central,2017,4012,NetChange,4012,4012
4,Brunca,2017,2632,NetChange,2632,2632
5,Huetar Caribe,2017,6188,NetChange,6188,6188
6,Huetar Norte,2017,11785,NetChange,11785,11785
1,Central,2016,55922,NetChange,55922,55922
2,Chorotega,2016,2641,NetChange,2641,2641
3,Pacifico Central,2016,2014,NetChange,2014,2014
4,Brunca,2016,5783,NetChange,5783,5783
5,Huetar Caribe,2016,1999,NetChange,1999,1999
6,Huetar Norte,2016,12068,NetChange,12068,12068
1,Central,2015,48332,NetChange,48332,48332
2,Chorotega,2015,956,NetChange,956,956
3,Pacifico Central,2015,6366,NetChange,6366,6366
4,Brunca,2015,957,NetChange,957,957
5,Huetar Caribe,2015,7661,NetChange,7661,7661
6,Huetar Norte,2015,9133,NetChange,9133,9133
